session_id,time_seconds,percent,angle
167,2.385894,25.0,42.523
167,2.48133,26.0,26.218847
167,2.576766,27.0,11.127874
167,2.672202,28.0,8.188402
167,2.767637,29.0,10.301347
167,2.863073,30.0,20.690426
167,2.958509,31.0,44.858253
167,3.053945,32.0,80.66434
167,3.14938,33.0,93.850249
167,3.244816,34.0,82.306258
167,3.340252,35.0,76.939231
167,3.435688,36.0,73.482004
167,3.531123,37.0,54.001865
167,3.626559,38.0,33.388252
167,3.721995,39.0,19.312545
167,3.817431,40.0,9.396
167,3.912867,41.0,7.577194
167,4.008302,42.0,8.816657
167,4.103738,43.0,16.187928
167,4.199174,44.0,42.944114
167,4.29461,45.0,70.32
167,4.390045,46.0,83.748998
167,4.485481,47.0,80.501965
167,4.580917,48.0,74.842719
167,4.676353,49.0,72.491399
167,4.771789,50.0,66.477826
167,4.867224,51.0,54.626711
167,4.96266,52.0,41.521931
167,5.058096,53.0,29.34006
167,5.153532,54.0,15.964618
167,5.248967,55.0,11.045902
167,5.344403,56.0,8.981602
167,5.439839,57.0,7.815201
167,5.535275,58.0,16.658508
167,5.63071,59.0,57.484959
167,5.726146,60.0,83.9004
167,5.821582,61.0,88.059064
167,5.917018,62.0,80.789344
167,6.012454,63.0,74.724361
167,6.107889,64.0,68.907728
167,6.203325,65.0,52.50425
167,6.298761,66.0,35.984776
167,6.394197,67.0,20.187512
167,6.489632,68.0,12.820967
167,6.585068,69.0,11.526577
167,6.680504,70.0,13.642
167,6.77594,71.0,16.561835
167,6.871375,72.0,42.372327
167,6.966811,73.0,76.918512
167,7.062247,74.0,89.308006
167,7.157683,75.0,74.694888
167,7.253119,76.0,68.469131
167,7.348554,77.0,61.69851
167,7.44399,78.0,45.700662
167,7.539426,79.0,30.296794
167,7.634862,80.0,15.202
167,7.730297,81.0,4.696003
167,7.825733,82.0,2.692538
167,7.921169,83.0,3.83344
167,8.016605,84.0,4.2722
167,8.11204,85.0,6.939478
167,8.207476,86.0,14.751978
167,8.302912,87.0,65.712794
167,8.398348,88.0,80.28801
167,8.493784,89.0,74.842352
167,8.589219,90.0,39.893111
167,8.684655,91.0,20.238242
167,8.780091,92.0,7.203362
167,8.875527,93.0,4.598323
167,8.970962,94.0,3.083704
167,9.066398,95.0,1.453778
167,9.161834,96.0,1.455547
167,9.25727,97.0,2.253473
167,9.352705,98.0,2.8356
167,9.448141,99.0,2.72772
167,9.543577,100.0,2.72
168,0.0,0.0,12.28
168,0.095436,1.0,25.179309
168,0.190872,2.0,42.731518
168,0.286307,3.0,58.924936
168,0.381743,4.0,64.881635
168,0.477179,5.0,63.390551
168,0.572615,6.0,60.521253
168,0.66805,7.0,61.177671
168,0.763486,8.0,65.285505
168,0.858922,9.0,67.093093
168,0.954358,10.0,58.517924
168,1.049793,11.0,47.249648
168,1.145229,12.0,30.131397
168,1.240665,13.0,19.658802
168,1.336101,14.0,13.37305
168,1.431537,15.0,14.338784
168,1.526972,16.0,15.498578
168,1.622408,17.0,28.08835
168,1.717844,18.0,60.216794
168,1.81328,19.0,90.494005
168,1.908715,20.0,93.425997
168,2.004151,21.0,83.613829
168,2.099587,22.0,80.947428
168,2.195023,23.0,76.496605
168,2.290458,24.0,59.92293
168,2.385894,25.0,42.69
168,2.48133,26.0,28.941147
168,2.576766,27.0,20.401962
168,2.672202,28.0,14.14783
168,2.767637,29.0,15.166032
168,2.863073,30.0,23.067727
168,2.958509,31.0,62.265705
168,3.053945,32.0,86.473322
168,3.14938,33.0,93.388207
168,3.244816,34.0,81.65076
168,3.340252,35.0,77.150197
168,3.435688,36.0,76.028829
168,3.531123,37.0,58.152485
168,3.626559,38.0,45.392826
168,3.721995,39.0,30.093216
168,3.817431,40.0,20.243592
168,3.912867,41.0,13.913411
168,4.008302,42.0,13.861385
168,4.103738,43.0,21.175045
168,4.199174,44.0,50.084005
168,4.29461,45.0,76.193189
168,4.390045,46.0,94.639528
168,4.485481,47.0,87.404771
168,4.580917,48.0,81.34895
168,4.676353,49.0,73.490174
168,4.771789,50.0,56.725227
168,4.867224,51.0,40.407993
168,4.96266,52.0,23.723259
168,5.058096,53.0,15.352089
168,5.153532,54.0,14.366033
168,5.248967,55.0,17.811545
168,5.344403,56.0,38.908209
168,5.439839,57.0,71.360794
168,5.535275,58.0,88.749864
168,5.63071,59.0,91.216139
168,5.726146,60.0,77.673359
168,5.821582,61.0,68.412423
168,5.917018,62.0,53.269084
168,6.012454,63.0,34.759877
168,6.107889,64.0,21.722515
168,6.203325,65.0,15.038704
168,6.298761,66.0,13.917078
168,6.394197,67.0,22.271249
168,6.489632,68.0,54.676996
168,6.585068,69.0,85.956583
168,6.680504,70.0,95.550699
168,6.77594,71.0,85.979036
168,6.871375,72.0,84.744897
168,6.966811,73.0,84.559437
